name,lat,lon,rating,review_count,price_level,address,is_open,distance_ml
The Family Restaurant,41.5605556,-90.5825,4.5,1276,1.0,"902 W Kimberly Rd, Davenport",True,0.55
Abelardo's Mexican Fresh,41.5741173,-90.56894310000001,3.2,68,,"5231 N Brady St, Davenport",True,0.62
Panera Bread,41.5605226,-90.5793157,4.0,581,2.0,"414 W Kimberly Rd, Davenport",True,0.49
Mo Brady's Steakhouse,41.5705726,-90.5692807,4.4,985,2.0,"4830 N Brady St, Davenport",False,0.46
Azteca 1 Mexican Restaurant,41.570488,-90.567877,4.2,935,2.0,"4811 #3 Walnut Center, N Brady St, Davenport",False,0.52
Mo Flava,41.5571159,-90.5690833,5.0,5,,"3622 N Brady St, Davenport",,0.82
Lunardi's Restaurant,41.562151,-90.5712657,4.5,920,2.0,"102 E Kimberly Rd, Davenport",False,0.47
Happy Joe's Pizza & Jungle Bungle - W. 50th,41.57034000000001,-90.57252000000001,3.8,1246,2.0,"201 W 50th St, Davenport",True,0.31
Azteca 4,41.557203,-90.5694717,4.1,995,2.0,"3566 N Brady St, Davenport",False,0.8
El Gallo,41.5595497,-90.5680441,5.0,1,,"3839 N Brady St, Davenport",,0.71
Costa Del Mar Mexican Grill & Seafood,41.5597078,-90.5687572,4.6,720,2.0,"3852 N Brady St A, Davenport",False,0.68
Lotus Asian Bistro,41.5741856,-90.56566889999999,4.5,629,2.0,"589 E 53rd St, Davenport",False,0.75
Freddy's Frozen Custard & Steakburgers,41.5604894,-90.58371559999999,4.2,1320,1.0,"916 W Kimberly Rd, Davenport",False,0.59
R|C Brazilian Steakhouse,41.5622578,-90.57485899999999,4.7,860,,"320 W Kimberly Rd, Davenport",False,0.37
Olive Garden Italian Restaurant,41.560558,-90.5762075,4.3,2710,2.0,"330 W Kimberly Rd, Davenport",False,0.47
Ganzo's Mexican Restaurant,41.5610154,-90.5906201,4.3,1203,2.0,"3923 N Marquette St, Davenport",False,0.83
McDonald's,41.5713795,-90.5723137,3.6,1400,1.0,"5002 Welcome Way, Davenport",True,0.37
